ID;Tema;Pregunta;Opcion0;Opcion1;Opcion2;Opcion3;IndiceCorrecto;NombreImagen
1;Aritmetica;Un sistema de enfriamiento procesa 5 litros por minuto. ¿Cuánto tiempo tardará en procesar un tanque de 60 litros?;10 min;15 min;8 min;12 min;3;
2;Aritmetica;Un servidor consume el 20% de su capacidad total de 400W en estado de reposo. ¿Cuántos Watts consume?;100W;80W;40W;20W;1;
3;Aritmetica;Para ensamblar un prototipo se requieren 4 tornillos especiales. Si tienes una caja con 26 tornillos, ¿cuántos prototipos completos puedes armar?;4;5;6;7;2;
4;Lineales;Resuelva la siguiente ecuación para hallar el valor de x: 2x + 10 = 50;20;30;40;10;0;
5;Lineales;El presupuesto total para dos licencias es de $120. Si la licencia A cuesta $20 más que la B, ¿cuál es el costo de la licencia B?;70;60;40;50;3;
6;Lineales;Despeje x en la siguiente expresión de transferencia de datos: x / 4 = 8;2;32;12;4;1;
7;Sistemas;En un sistema de ecuaciones donde x + y = 12 y x - y = 2, ¿cuál es el valor de x?;5;6;7;8;2;
8;Sistemas;Un panel tiene 10 puertos. Los puertos tipo A son cuatro veces más numerosos que los tipo B. ¿Cuántos puertos tipo B hay?;4;5;3;2;3;
9;Sistemas;En la ecuación de balance de carga 2x - y = 10, si el valor de x es 8, ¿cuánto vale y?;6;10;8;4;0;
10;Cuadraticas;El área de una placa rectangular es 40 cm². Si el largo es x + 3 y el ancho es x, ¿cuál es el valor de x?;8;5;4;10;1;
11;Cuadraticas;Determine las raíces (valores de x) que satisfacen la ecuación: x² - 16 = 0;x=2, x=-2;x=8, x=-8;x=0, x=16;x=4, x=-4;3;
12;Cuadraticas;Evalúe la función de rendimiento f(x) = x² - 4 cuando el valor de entrada x es 5;25;20;21;16;2;
13;Inecuaciones;Encuentre el conjunto solución para la siguiente restricción de red: 3x < 24;x < 8;x > 8;x < 6;x > 24;0;
14;Inecuaciones;El peso de una carga W sumado a un soporte de 50kg no debe exceder los 200kg. ¿Cuál es la inecuación correcta?;W > 150;W < 250;W <= 250;W <= 150;3;
15;Inecuaciones;Un proceso consume 15 unidades de energía por ciclo. Si quedan 60 unidades, ¿cuántos ciclos x puede completar (15x <= 60)?;3;4;5;2;1;
